P19	2	43	6290	6288	6245
P8	3	99	4434	4431	4332
P117	23	55	110	87	32
P68	23	5	6295	6272	6267
P32	26	85	9417	9391	9306
P85	27	32	59	32	0
P209	38	28	14702	14664	14636
P83	40	48	10546	10506	10458
P5	50	39	7087	7037	6998
P215	55	8	12564	12509	12501
P292	58	18	3742	3684	3666
P78	66	72	14178	14112	14040
P102	68	1	111	43	42
P76	69	8	3441	3372	3364
P103	73	61	12021	11948	11887
P159	80	85	7610	7530	7445
P34	80	4	6612	6532	6528
P191	96	61	6673	6577	6516
P258	99	66	12630	12531	12465
P140	110	39	8211	8101	8062
P192	111	39	10585	10474	10435
P281	112	56	11686	11574	11518
P62	118	16	248	130	114
P91	121	28	4076	3955	3927
P285	126	65	191	65	0
P246	131	65	4768	4637	4572
P287	131	51	10068	9937	9886
P118	135	100	8625	8490	8390
P218	138	63	4831	4693	4630
P106	139	92	8740	8601	8509
P279	147	80	4514	4367	4287
P238	148	83	9109	8961	8878
P154	149	72	5881	5732	5660
P222	150	49	240	90	41
P151	157	89	11392	11235	11146
P26	158	17	9495	9337	9320
P253	167	30	9525	9358	9328
P278	169	4	9529	9360	9356
P116	174	23	8648	8474	8451
P286	185	94	5975	5790	5696
P53	185	41	9570	9385	9344
P217	187	72	6989	6802	6730
P123	188	23	5998	5810	5787
P132	190	3	9112	8922	8919
P133	190	93	12114	11924	11831
P180	191	80	14258	14067	13987
P260	194	73	7820	7626	7553
P276	195	43	13432	13237	13194
P97	198	7	9733	9535	9528
P47	200	31	9764	9564	9533
P142	201	3	11689	11488	11485
P179	204	25	11417	11213	11188
P150	206	44	11461	11255	11211
P223	209	40	6713	6504	6464
P9	212	30	317	105	75
P101	215	1	11051	10836	10835
P182	217	71	5414	5197	5126
P50	229	57	5032	4803	4746
P264	233	67	7154	6921	6854
P249	234	70	14772	14538	14468
P88	236	57	8268	8032	7975
P105	238	65	6063	5825	5760
P235	238	39	7649	7411	7372
P66	238	44	7198	6960	6916
P98	238	9	11060	10822	10813
P124	241	76	10778	10537	10461
P193	248	62	11523	11275	11213
P95	255	94	12724	12469	12375
P252	261	20	11543	11282	11262
P213	263	98	11787	11524	11426
P227	263	94	6807	6544	6450
P298	263	98	10166	9903	9805
P39	265	15	3757	3492	3477
P224	266	78	10244	9978	9900
P274	267	39	306	39	0
P61	268	17	5299	5031	5014
P203	271	75	12189	11918	11843
